feature_map_family,ansatz_family,num_qubits,depth,topology,seed,noise_condition,expressibility_kl,meyer_wallach,gradient_variance,kta,svm_accuracy
cx_ry,rotation_only,10,8,circular,2,noiseless,8.740648201398857e-10,0.9930032375045614,0.0005341852194748779,0.18334435757375245,0.4
cx_ry,real_amplitudes,4,1,linear,0,noiseless,0.5771422388841538,0.44694940269256883,0.13485213497376222,0.3714858423623112,0.6666666666666666
cx_ry,real_amplitudes,4,1,linear,1,noiseless,0.4514601284199195,0.4598880676237277,0.22602533104109873,0.3714858423623112,0.6666666666666666
cx_ry,real_amplitudes,4,1,linear,2,noiseless,0.7082145200951898,0.4503102495060608,0.27785755296374925,0.3714858423623112,0.6666666666666666
cx_ry,real_amplitudes,4,1,circular,0,noiseless,0.5771422388841538,0.6345220773185677,0.07166638346019968,0.3714858423623113,0.6666666666666666
cx_ry,real_amplitudes,4,1,circular,1,noiseless,0.4514601284199195,0.632888562220324,0.13392642621319514,0.3714858423623113,0.6666666666666666
cx_ry,real_amplitudes,4,1,circular,2,noiseless,0.7082145200951898,0.6503581469887751,0.19690106285311493,0.3714858423623113,0.6666666666666666
cx_ry,real_amplitudes,4,8,linear,0,noiseless,0.24954991951313243,0.6651037236148225,0.06235436009113494,0.15438738078793077,0.4
cx_ry,real_amplitudes,4,8,linear,1,noiseless,0.2290754303092396,0.6770165043134488,0.060804161372952435,0.15438738078793077,0.4
cx_ry,real_amplitudes,4,8,linear,2,noiseless,0.22912717237842817,0.6758990122195135,0.054719695618734375,0.15438738078793077,0.4
cx_ry,real_amplitudes,4,8,circular,0,noiseless,0.17692794098735654,0.758513734520982,0.04926466894246261,0.27203253360291774,0.5333333333333333
cx_ry,real_amplitudes,4,8,circular,1,noiseless,0.10674715846543417,0.7588371625245663,0.06007583280998057,0.27203253360291774,0.5333333333333333
cx_ry,real_amplitudes,4,8,circular,2,noiseless,0.1272375620116824,0.7691879891256775,0.057622231178507045,0.27203253360291774,0.5333333333333333
cx_ry,real_amplitudes,10,1,linear,0,noiseless,0.24628223869223198,0.6193218498444041,0.16501699931128602,0.20019508581723075,0.4
cx_ry,real_amplitudes,10,1,linear,1,noiseless,0.943422382401399,0.6219883911912172,0.2061599027539096,0.20019508581723075,0.4
cx_ry,real_amplitudes,10,1,linear,2,noiseless,0.6935542793853388,0.6353560936499071,0.2824570126678976,0.20019508581723075,0.4
cx_ry,real_amplitudes,10,1,circular,0,noiseless,0.24628223869223198,0.7132562665236614,0.13881194250314915,0.20019508581723078,0.4
cx_ry,real_amplitudes,10,1,circular,1,noiseless,0.943422382401399,0.7090972018817367,0.12941761516170902,0.20019508581723078,0.4
cx_ry,real_amplitudes,10,1,circular,2,noiseless,0.6935542793853388,0.7225076950006476,0.20314514709763157,0.20019508581723078,0.4
cx_ry,real_amplitudes,10,8,linear,0,noiseless,8.740648201398857e-10,0.9497127046448622,0.0015167665235383664,0.18336627775125663,0.4
cx_ry,real_amplitudes,10,8,linear,1,noiseless,8.740648201398857e-10,0.9492340084543466,0.0019162999648072846,0.18336627775125663,0.4
cx_ry,real_amplitudes,10,8,linear,2,noiseless,8.740648201398857e-10,0.950288839027598,0.001454382635970695,0.18336627775125663,0.4
